decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
R2AT;UR8IDX;28107.0;10M;19;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;European Russia;  EU;CQ
K3LR;K3WW;7118.2;40M;43;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
ON5KQ;F5NJF;7004.0;40M;26;2016-02-14 13:32;France;  EU;CW;EU;EU;Belgium;  EU;CQ
ON5KQ;YU1AHW;7036.5;40M;15;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Belgium;  EU;CQ
DJ3AK;VE2GDI;21016.4;15M;26;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DJ3AK;F5NJF;7004.0;40M;8;2016-02-14 13:32;France;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DJ3AK;YU1AHW;7036.5;40M;11;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
WE4S;KW7D;14017.0;20M;33;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
SV8RV;IZ3SQW;14093.5;20M;23;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;YO3AAJ;7016.1;40M;15;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Greece;  EU;CQ
SV8RV;YO3IRM;7019.1;40M;6;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Greece;  EU;CQ
SV8RV;DG1RUG;10141.4;30M;14;2016-02-14 13:32;Fed. Rep. of Germany;  EU;PSK31;EU;EU;Greece;  EU;CQ
SV8RV;RL2D;14087.6;20M;9;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;IK5FKF;14082.1;20M;25;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;S55RD;10140.6;30M;17;2016-02-14 13:32;Slovenia;  EU;PSK31;EU;EU;Greece;  EU;CQ
K9IMM;9A1ZZ;18073.9;17M;7;2016-02-14 13:32;Croatia;  EU;CW;NA;EU;United States;  NA;CQ
NC7J;JM1NKT;7038.79;40M;13;2016-02-14 13:32;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
NC7J;K9RU;7039.3;40M;26;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
W1NT;KW7D;14017.0;20M;10;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
DQ8Z;HB9CCL;10118.1;30M;20;2016-02-14 13:32;Switzerland;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DQ8Z;IW9HKM;21030.1;15M;13;2016-02-14 13:32;Italy;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DK0TE;VE2GDI;21016.4;15M;11;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
W3UA;KW7D;14016.9;20M;20;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
KU7T;W6KY;7059.7;40M;40;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
DF7GB;VE2GDI;21016.4;15M;24;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DF7GB;PA3EQN;7028.2;40M;6;2016-02-14 13:32;Netherlands;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF7GB;F5NJF;7004.0;40M;8;2016-02-14 13:32;France;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
