Prefix,Entity,Cont.,ITU,CQ
1A0,Sov. Mil. Order of Malta,EU,28,15
1S,Spratly Is.,AS,50,26
3A,Monaco,EU,27,14
3B6,Agalega & St. Brandon,AF,53,39
3B7,Agalega & St. Brandon,AF,53,39
3B8,Mauritius,AF,53,39
3B9,Rodriguez I.,AF,53,39
3C,Equatorial Guinea,AF,47,36
3C0,Pagalu I.,AF,52,36
3D2,Fiji,OC,56,32
3D2,Conway Reef,OC,56,32
3D2,Rotuma I.,OC,56,32
3DA,Swaziland,AF,57,38
3V,Tunisia,AF,37,33
3W,Vietnam,AS,49,26
XV,Vietnam,AS,49,26
3X,Guinea,AF,46,35
3Y,Bouvet,AF,67,38
3Y,Peter I I.,AN,72,12
4J,Azerbaijan,AS,29,21
4K,Azerbaijan,AS,29,21
4L,Georgia,AS,29,21
4O,Montenegro,EU,28,15
4P,Sri Lanka,AS,41,22
4Q,Sri Lanka,AS,41,22
4R,Sri Lanka,AS,41,22
4S,Sri Lanka,AS,41,22
4U_ITU,ITU HQ,EU,28,14
4U_UN,United Nations HQ,NA,8,5
4W6,East Timor,OC,54,28
4X,Israel,AS,39,20
4Z,Israel,AS,39,20
5A,Libya,AF,38,34
5B,Cyprus,AS,39,20
5H-5I,Tanzania,AF,53,37
5I,Tanzania,AF,53,37
5N,Nigeria,AF,46,35
5O,Nigeria,AF,46,35
5R,Madagascar,AF,53,39
5S,Madagascar,AF,53,39
5T,Mauritania,AF,46,35
5U,Niger,AF,46,35
5V,Togo,AF,46,35
5W,Western Samoa,OC,62,32
5X,Uganda,AF,48,37
5Y,Kenya,AF,48,37
5Z,Kenya,AF,48,37
6V,Senegal,AF,46,35
6W,Senegal,AF,46,35
6Y,Jamaica,NA,11,8
7O,Yemen,AS,39,21
7P,Lesotho,AF,57,38
7Q,Malawi,AF,53,37
7T,Algeria,AF,37,33
7Y,Algeria,AF,37,33
8P,Barbados,NA,11,8
8Q,Maldives,AS/AF,41,22
8R,Guyana,SA,12,9
9A,Croatia,EU,28,15
9G,Ghana,AF,46,35
9H,Malta,EU,28,15
9I,Zambia,AF,53,36
9J,Zambia,AF,53,36
9K,Kuwait,AS,39,21
9L,Sierra Leone,AF,46,35
9M2,West Malaysia,AS,54,28
9M4,West Malaysia,AS,54,28
9M6,East Malaysia,OC,54,28
9M8,East Malaysia,OC,54,28
9N,Nepal,AS,42,22
9Q,Dem.Rep. Of Congo,AF,52,36
9T,Dem.Rep. Of Congo,AF,52,36
9U,Burundi,AF,52,36
9V,Singapore,AS,54,28
9X,Rwanda,AF,52,36
9Y,Trinidad & Tobago,SA,11,9
9Z,Trinidad & Tobago,SA,11,9
A2,Botswana,AF,57,38
A3,Tonga,OC,62,32
A4,Oman,AS,39,21
A5,Bhutan,AS,41,22
A6,United Arab Emirates,AS,39,21
A7,Qatar,AS,39,21
A9,Bahrain,AS,39,21
AP,Pakistan,AS,41,21
AQ,Pakistan,AS,41,21
AR,Pakistan,AS,41,21
AS,Pakistan,AS,41,21
BS7,Scarborough Reef,AS,50,27
BV,Taiwan,AS,44,24
BV9P,Pratas,AS,44,24
BA,China,AS,"33,42,43,44",23.24
BY,China,AS,"33,42,43,44",23.24
BT,China,AS,"33,42,43,44",23.24
C2,Nauru,OC,65,31
C3,Andorra,EU,27,14
C5,The Gambia,AF,46,35
C6,Bahamas,NA,11,8
C8,Mozambique,AF,53,37
C9,Mozambique,AF,53,37
CA,Chile,SA,14.16,12
CB,Chile,SA,14.16,12
CC,Chile,SA,14.16,12
CD,Chile,SA,14.16,12
CE,Chile,SA,14.16,12
CE0,Easter I.,SA,63,12
CE0,Juan Fernandez Is.,SA,14,12
CE0,San Felix & San Ambrosio,SA,14,12
CE9/KC4,Antarctica,AN,"67,69-74",(*41)
CM,Cuba,NA,11,8
CO,Cuba,NA,11,8
CN,Morocco,AF,37,33
CP,Bolivia,SA,12.14,10
CT,Portugal,EU,37,14
CT3,Madeira Is.,AF,36,33
CU,Azores,EU,36,14
CV,Uruguay,SA,14,13
CX,Uruguay,SA,14,13
CY0,Sable I.,NA,9,5
